NUV, %
0,0
  169.00,   0.0000 
  169.10,   0.2450 
  169.20,   0.4900 
  169.30,   0.7350 
  169.40,   0.9800 
  169.50,   1.2250 
  169.60,   1.4700 
  169.70,   1.7150 
  169.80,   1.9600 
  169.90,   2.2050 
  170.00,   2.4500 
  170.10,   2.4676 
  170.20,   2.4852 
  170.30,   2.5028 
  170.40,   2.5204 
  170.50,   2.5380 
  170.60,   2.5556 
  170.70,   2.5732 
  170.80,   2.5908 
  170.90,   2.6084 
  171.00,   2.6260 
  171.10,   2.6436 
  171.20,   2.6612 
  171.30,   2.6788 
  171.40,   2.6964 
  171.50,   2.7140 
  171.60,   2.7316 
  171.70,   2.7492 
  171.80,   2.7668 
  171.90,   2.7844 
  172.00,   2.8020 
  172.10,   2.8196 
  172.20,   2.8372 
  172.30,   2.8548 
  172.40,   2.8724 
  172.50,   2.8900 
  172.60,   2.9076 
  172.70,   2.9252 
  172.80,   2.9428 
  172.90,   2.9604 
  173.00,   2.9780 
  173.10,   2.9956 
  173.20,   3.0132 
  173.30,   3.0308 
  173.40,   3.0484 
  173.50,   3.0660 
  173.60,   3.0836 
  173.70,   3.1012 
  173.80,   3.1188 
  173.90,   3.1364 
  174.00,   3.1540 
  174.10,   3.1716 
  174.20,   3.1892 
  174.30,   3.2068 
  174.40,   3.2244 
  174.50,   3.2420 
  174.60,   3.2596 
  174.70,   3.2772 
  174.80,   3.2948 
  174.90,   3.3124 
  175.00,   3.3300 
  175.10,   3.4672 
  175.20,   3.6044 
  175.30,   3.7416 
  175.40,   3.8788 
  175.50,   4.0160 
  175.60,   4.1532 
  175.70,   4.2904 
  175.80,   4.4276 
  175.90,   4.5648 
  176.00,   4.7020 
  176.10,   4.8392 
  176.20,   4.9764 
  176.30,   5.1136 
  176.40,   5.2508 
  176.50,   5.3880 
  176.60,   5.5252 
  176.70,   5.6624 
  176.80,   5.7996 
  176.90,   5.9368 
  177.00,   6.0740 
  177.10,   6.2112 
  177.20,   6.3484 
  177.30,   6.4856 
  177.40,   6.6228 
  177.50,   6.7600 
  177.60,   6.8972 
  177.70,   7.0344 
  177.80,   7.1716 
  177.90,   7.3088 
  178.00,   7.4460 
  178.10,   7.5832 
  178.20,   7.7204 
  178.30,   7.8576 
  178.40,   7.9948 
  178.50,   8.1320 
  178.60,   8.2692 
  178.70,   8.4064 
  178.80,   8.5436 
  178.90,   8.6808 
  179.00,   8.8180 
