w, %
0,0
100.00, 3.9104749786385986e-07
100.10, 4.1072978839655785e-07
100.20, 4.304120789292558e-07
100.30, 4.5009436946195377e-07
100.40, 4.6977665999465164e-07
100.50, 4.894589505273496e-07
100.60, 5.091412410600476e-07
100.70, 5.288235315927454e-07
100.80, 5.485058221254434e-07
100.90, 5.681881126581413e-07
101.00, 5.878704031908604e-07
101.10, 7.007598368588316e-07
101.20, 8.136492705268028e-07
101.30, 9.265387041947739e-07
101.40, 1.0394281378627448e-06
101.50, 1.1523175715307162e-06
101.60, 1.2652070051986871e-06
101.70, 1.3780964388666585e-06
101.80, 1.4909858725346296e-06
101.90, 1.6038753062026008e-06
102.00, 1.7167647398706043e-06
102.10, 1.972347080221964e-06
102.20, 2.2279294205733234e-06
102.30, 2.483511760924683e-06
102.40, 2.7390941012760424e-06
102.50, 2.9946764416274023e-06
102.60, 3.2502587819787613e-06
102.70, 3.5058411223301208e-06
102.80, 3.7614234626814807e-06
102.90, 4.017005803032839e-06
103.00, 4.2725881433842474e-06
103.10, 4.737609293332604e-06
103.20, 5.202630443280962e-06
103.30, 5.66765159322932e-06
103.40, 6.1326727431776775e-06
103.50, 6.597693893126034e-06
103.60, 7.062715043074392e-06
103.70, 7.52773619302275e-06
103.80, 7.992757342971108e-06
103.90, 8.457778492919465e-06
104.00, 8.922799642867931e-06
104.10, 9.868161458371576e-06
104.20, 1.0813523273875219e-05
104.30, 1.1758885089378863e-05
104.40, 1.2704246904882504e-05
104.50, 1.3649608720386149e-05
104.60, 1.459497053588979e-05
104.70, 1.5540332351393436e-05
104.80, 1.6485694166897075e-05
104.90, 1.743105598240072e-05
105.00, 1.8376417797904585e-05
105.10, 2.029897289502064e-05
105.20, 2.2221527992136696e-05
105.30, 2.4144083089252748e-05
105.40, 2.6066638186368793e-05
105.50, 2.7989193283484852e-05
105.60, 2.9911748380600904e-05
105.70, 3.1834303477716956e-05
105.80, 3.375685857483301e-05
105.90, 3.567941367194906e-05
106.00, 3.760196876906537e-05
106.10, 4.067051356423041e-05
106.20, 4.373905835939545e-05
106.30, 4.68076031545605e-05
106.40, 4.987614794972553e-05
106.50, 5.294469274489057e-05
106.60, 5.6013237540055606e-05
106.70, 5.9081782335220646e-05
106.80, 6.21503271303857e-05
106.90, 6.521887192555073e-05
107.00, 6.828741672071567e-05
107.10, 7.090669245935318e-05
107.20, 7.35259681979907e-05
107.30, 7.614524393662823e-05
107.40, 7.876451967526573e-05
107.50, 8.138379541390324e-05
107.60, 8.400307115254076e-05
107.70, 8.662234689117827e-05
107.80, 8.924162262981578e-05
107.90, 9.186089836845331e-05
108.00, 9.448017410709107e-05
108.10, 9.815447867477726e-05
108.20, 0.00010182878324246347
108.30, 0.00010550308781014968
108.40, 0.00010917739237783587
108.50, 0.0001128516969455221
108.60, 0.00011652600151320828
108.70, 0.00012020030608089448
108.80, 0.00012387461064858067
108.90, 0.00012754891521626687
109.00, 0.00013122321978395343
109.10, 0.00013649424021043143
109.20, 0.0001417652606369094
