w, %
0,0
100.00, 0.0
100.10, 0.0
100.20, 0.0
100.30, 0.0
100.40, 0.0
100.50, 0.0
100.60, 0.0
100.70, 0.0
100.80, 0.0
100.90, 0.0
101.00, 0.0
101.10, 0.0
101.20, 0.0
101.30, 0.0
101.40, 0.0
101.50, 0.0
101.60, 0.0
101.70, 0.0
101.80, 0.0
101.90, 0.0
102.00, 0.0
102.10, 0.0
102.20, 0.0
102.30, 0.0
102.40, 0.0
102.50, 0.0
102.60, 0.0
102.70, 0.0
102.80, 0.0
102.90, 0.0
103.00, 0.0
103.10, 0.0
103.20, 0.0
103.30, 0.0
103.40, 0.0
103.50, 0.0
103.60, 0.0
103.70, 0.0
103.80, 0.0
103.90, 0.0
104.00, 0.0
104.10, 0.0
104.20, 0.0
104.30, 0.0
104.40, 0.0
104.50, 0.0
104.60, 0.0
104.70, 0.0
104.80, 0.0
104.90, 0.0
105.00, 0.0
105.10, 0.0
105.20, 0.0
105.30, 0.0
105.40, 0.0
105.50, 0.0
105.60, 0.0
105.70, 0.0
105.80, 0.0
105.90, 0.0
106.00, 0.0
106.10, 0.0
106.20, 0.0
106.30, 0.0
106.40, 0.0
106.50, 0.0
106.60, 0.0
106.70, 0.0
106.80, 0.0
106.90, 0.0
107.00, 0.0
107.10, 0.0
107.20, 0.0
107.30, 0.0
107.40, 0.0
107.50, 0.0
107.60, 0.0
107.70, 0.0
107.80, 0.0
107.90, 0.0
108.00, 0.0
108.10, 0.0
108.20, 0.0
108.30, 0.0
108.40, 0.0
108.50, 0.0
108.60, 0.0
108.70, 0.0
108.80, 0.0
108.90, 0.0
109.00, 0.0
109.10, 0.0
109.20, 0.0
109.30, 0.0
109.40, 0.0
109.50, 0.0
109.60, 0.0
109.70, 0.0
109.80, 0.0
109.90, 0.0
110.00, 0.0
110.10, 0.0
110.20, 0.0
110.30, 0.0
110.40, 0.0
110.50, 0.0
110.60, 0.0
110.70, 0.0
110.80, 0.0
110.90, 0.0
111.00, 0.0
111.10, 0.0
111.20, 0.0
111.30, 0.0
111.40, 0.0
111.50, 0.0
111.60, 0.0
111.70, 0.0
111.80, 0.0
111.90, 0.0
112.00, 0.0
112.10, 0.0
112.20, 0.0
112.30, 0.0
112.40, 0.0
112.50, 0.0
112.60, 0.0
112.70, 0.0
112.80, 0.0
112.90, 0.0
113.00, 0.0
113.10, 0.0
113.20, 0.0
113.30, 0.0
113.40, 0.0
113.50, 0.0
113.60, 0.0
113.70, 0.0
113.80, 0.0
113.90, 0.0
114.00, 0.0
114.10, 0.0
114.20, 0.0
114.30, 0.0
114.40, 0.0
114.50, 0.0
114.60, 0.0
114.70, 0.0
114.80, 0.0
114.90, 0.0
115.00, 0.0
115.10, 0.0
115.20, 0.0
115.30, 0.0
115.40, 0.0
115.50, 0.0
115.60, 0.0
115.70, 0.0
115.80, 0.0
115.90, 0.0
116.00, 0.0
116.10, 0.0
116.20, 0.0
116.30, 0.0
116.40, 0.0
116.50, 0.0
116.60, 0.0
116.70, 0.0
116.80, 0.0
116.90, 0.0
117.00, 0.0
117.10, 0.0
117.20, 0.0
117.30, 0.0
117.40, 0.0
117.50, 0.0
117.60, 0.0
117.70, 0.0
117.80, 0.0
117.90, 0.0
118.00, 0.0
118.10, 0.0
118.20, 0.0
118.30, 0.0
118.40, 0.0
118.50, 0.0
118.60, 0.0
118.70, 0.0
118.80, 0.0
118.90, 0.0
119.00, 0.0
119.10, 0.0
119.20, 0.0
119.30, 0.0
119.40, 0.0
119.50, 0.0
119.60, 0.0
119.70, 0.0
119.80, 0.0
119.90, 0.0
120.00, 0.0
120.10, 0.0
120.20, 0.0
120.30, 0.0
120.40, 0.0
120.50, 0.0
120.60, 0.0
120.70, 0.0
120.80, 0.0
120.90, 0.0
121.00, 0.0
121.10, 0.0
121.20, 0.0
121.30, 0.0
121.40, 0.0
121.50, 0.0
121.60, 0.0
121.70, 0.0
121.80, 0.0
121.90, 0.0
122.00, 0.0
122.10, 0.0
122.20, 0.0
122.30, 0.0
122.40, 0.0
122.50, 0.0
122.60, 0.0
122.70, 0.0
122.80, 0.0
122.90, 0.0
123.00, 0.0
123.10, 0.0
123.20, 0.0
123.30, 0.0
123.40, 0.0
123.50, 0.0
123.60, 0.0
123.70, 0.0
123.80, 0.0
123.90, 0.0
124.00, 0.0
124.10, 0.0
124.20, 0.0
124.30, 0.0
124.40, 0.0
124.50, 1.3450104827781414e-30
124.60, 5.99505076131101e-18
124.70, 1.2149818243695403e-17
124.80, 1.846498191237273e-17
124.90, 2.49412221445518e-17
125.00, 3.1579220229430523e-17
125.10, 3.1989049205446614e-17
125.20, 3.239999997696075e-17
125.30, 3.2812073559559375e-17
125.40, 3.3225270968828977e-17
125.50, 3.3639593220356005e-17
125.60, 3.406461765840388e-17
125.70, 3.449079772280459e-17
125.80, 3.4918134455797185e-17
125.90, 3.534662889962075e-17
126.00, 3.577628209651436e-17
126.10, 3.6218464857605145e-17
126.20, 3.666187275211694e-17
126.30, 3.710650691514381e-17
126.40, 3.755236848177968e-17
126.50, 3.7999458587118644e-17
126.60, 3.845759052345381e-17
126.70, 3.891698329698844e-17
126.80, 3.937763807136584e-17
126.90, 3.9839556010229337e-17
127.00, 4.0302738277224045e-17
127.10, 4.894120777337467e-17
127.20, 5.777435283198904e-17
127.30, 6.680304789960515e-17
127.40, 7.602816858555259e-17
127.50, 8.545059166195061e-17
127.60, 8.644776196126026e-17
127.70, 8.744791960936965e-17
127.80, 8.845106758098103e-17
127.90, 8.94572088507966e-17
128.00, 9.046634639352064e-17
128.10, 1.0065806219451218e-16
128.20, 1.1106189677061978e-16
128.30, 1.2167883524091146e-16
128.40, 1.3250986413030174e-16
128.50, 1.435559713695489e-16
128.60, 1.451702455892183e-16
128.70, 1.4678954951983708e-16
128.80, 1.484138885452401e-16
128.90, 1.5004326804926237e-16
129.00, 1.5167769341574095e-16
129.10, 1.635850815455757e-16
129.20, 1.7572310662537045e-16
129.30, 1.880928693800392e-16
129.40, 2.0069547222975e-16
129.50, 2.1353201928992325e-16
129.60, 2.1584942858027922e-16
129.70, 2.181743032582183e-16
129.80, 2.205066519641233e-16
129.90, 2.22846483338377e-16
130.00, 2.2519380602136496e-16
130.10, 2.39002142417888e-16
130.20, 2.5306238814460115e-16
130.30, 2.6737580745573024e-16
130.40, 2.8194366674147847e-16
130.50, 2.967672345280235e-16
130.60, 2.998981910246866e-16
130.70, 3.0303982559499323e-16
130.80, 3.0619215182746537e-16
130.90, 3.0935518331062517e-16
131.00, 3.125289336329977e-16
131.10, 3.2844587194605906e-16
131.20, 3.446385015815933e-16
131.30, 3.6110827911018144e-16
131.40, 3.7785666380391066e-16
131.50, 3.9488511763637155e-16
131.60, 3.989483906285894e-16
131.70, 4.0302635674835137e-16
131.80, 4.071190365768292e-16
131.90, 4.1122645069519533e-16
132.00, 4.153486196846246e-16
132.10, 4.3358200749258305e-16
132.20, 4.521157381768123e-16
132.30, 4.709514530692642e-16
132.40, 4.900907967908339e-16
132.50, 5.0953541725136e-16
132.60, 5.293431563610683e-16
132.70, 5.494628628539768e-16
132.80, 5.698962162906719e-16
132.90, 5.906448995669158e-16
133.00, 6.117105989136444e-16
133.10, 6.330509108954798e-16
133.20, 6.54707800751305e-16
