.,Charact.,Unit,FIREBall-2 2025,UVEX FUV,UVEX NUV,SCWI,FIREBall-1,ASPERA,JUNO UVS,GALEX FUV,GALEX NUV,LUMOS,ISTOS,CASTOR DMD,CETUS,KCWI blue,KCWI red,Blue MUSE,NIRSPEC,ELT Harmony,MUSE wide,MUSE narrow,NISP,SPHERE IRDIS,SPHEREx,tREXS,FIREBall-2 2018,SUMIRE PFS Blue,VLT MOONS,MOSAIC,TEST
Instrum. design,wavelength,nm,202,115,275,200,200,104,150,152.8,227,150,200,200,250,450,700,450,600,600,700,700,1000,1000,1000,2.18,200,500,800,600,200
,dimensions,.,2,2,2,3,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2.00
,FOV_size,amin2,648.00,44100.00,44100.00,4.00,16.00,60.00,3600.00,4608.00,4464.00,4.80,900.00,6.73,289.00,0.05,0.05,2.00,0.003,0.02,1.00,0.02,1983.19,0.03,284760.00,360000.00,648.00,6084.00,500.00,40.00,648.00
,pixel_scale,"""/pix",1.100,1.030,1.030,1.100,1.100,45.026,148.000,1.500,1.500,0.330,10.000,0.100,0.400,0.147,0.147,0.200,0.100,0.040,0.200,0.025,0.300,0.012,6.200,8.600,1.100,0.939,0.500,0.250,1.100
,Bandwidth,Å,160,1500,1500,160,160,50,1420,400,1050,1000,1200,1500,1700,2100,5200,2300,279000,5500,4650,4650,2920,7000,16700,24,160,2700,12000,2500,160
Spectro,Spectral_resolution,λ/dλ,1300,1600,3500,2000,5000,2000,75,200,90,8000,2500,1500,1000,18000,5600,4000,2700,3300,3000,3000,380,350,41,50,1300,2300,1000,4000,
,Slitwidth,"""",6,2,2,4,8,60.00,90.00,3600,3600,5.00,10.00,0.2,2.00,0.35,0.35,0.200,0.1,0.040,0.200,0.025,42,0.1,12600,2160000,6,1.1,1.200,3,
,Slitlength,"""",25,3600,3600,4,8,3600,432.00,3600,3600,3.00,240.00,20,360.00,20.40,20.40,84,3.0,0.06,60.000,7.500,42,11,NA,2160000,25,1.1,1.200,3,
,dispersion,Å/pix,0.21,0.38,0.38,0.21,0.18,0.53,1.00,2.50,6.06,0.04,0.40,1.40,0.42,0.10,0.20,0.40,14.29,0.69,0.40,0.40,13.00,11.00,4.18,0.02,0.21,0.70,0.35,0.63,
Observation,Altitude,km,35,1000,1000,35,35,450,1000,1000,1000,1000,1000,1000,1000,4,4,3,1000,3,3,3,1000,3,1000,250,35,4,3,3,35
,Collecting_area,m2,0.707,0.442,0.442,0.196,0.79,0.00254,0.00100,0.196,0.196,176.000,0.196,0.780,1.77,78.500,78.500,52.810,34.21,1195,52.810,52.810,1.13,52.81,0.031,0.035,0.785,52.810,52.810,1195,0.785
,Atmosphere,%/100,0.50,1.00,1.00,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,0.90,0.90,1.00,0.92,0.90,0.90,1.00,0.92,1.00,1.00,0.50,0.90,0.90,0.92,0.50
,Sky,"erg/cm2/s/""2/Å",2.00E-18,2.00E-17,2.00E-17,2.00E-18,2.00E-18,1.00E-18,1.00E-18,2.00E-18,2.00E-18,2.00E-17,1.00E-18,1.00E-18,1.00E-18,1.76E-17,1.13E-17,1.13E-17,3.00E-17,5.00E-18,1.13E-17,1.13E-17,1.00E-18,1.50E-17,1.00E-18,2.00E-18,4.60E-16,1.70E-17,1.13E-17,5.00E-18,4.60E-16
