col0,col1,col2
1144.5,2.4,0.0
1145.5,1.2,0.4
1146.5,1.6,0.8
1147.5,1.6,0.4
1148.5,2.0,2.0
1149.5,4.4,1.6
1150.5,4.4,3.6
1151.5,5.2,3.6
1152.5,4.4,4.4
1153.5,9.2,12.0
1154.5,10.4,13.2
1155.5,21.6,23.2
1156.5,26.8,28.4
1157.5,36.4,42.4
1158.5,58.8,52.0
1159.5,81.2,87.2
1160.5,107.6,114.0
1161.5,126.0,140.8
1162.5,178.4,211.6
1163.5,264.0,267.2
1164.5,302.4,368.0
1165.5,429.6,498.4
1166.5,538.8,617.6
1167.5,721.2,814.0
1168.5,786.8,916.8
1169.5,1101.2,1234.0
1170.5,1331.2,1544.0
1171.5,1670.4,1945.6
1172.5,2033.2,2374.4
1173.5,2536.8,2879.6
1174.5,2980.8,3412.4
1175.5,3094.4,3502.8
1176.5,4019.6,4644.8
1177.5,4660.0,5184.8
1178.5,5372.4,5973.2
1179.5,6136.8,6865.2
1180.5,6936.4,7717.2
1181.5,7718.0,8524.4
1182.5,7334.8,8178.0
1183.5,9107.2,10090.0
1184.5,9871.2,10772.0
1185.5,10545.6,11508.0
1186.5,11150.4,12094.8
1187.5,11716.8,12752.0
1188.5,12199.2,13107.6
1189.5,11070.4,11708.0
1190.5,12747.6,13836.0
1191.5,13087.6,13792.0
1192.5,13101.2,13588.4
1193.5,12865.2,13747.6
1194.5,12846.8,13384.8
1195.5,12474.0,12976.4
1196.5,10498.4,10898.0
1197.5,11771.2,11990.4
1198.5,11058.8,11319.6
1199.5,10474.4,10662.4
1200.5,9960.8,9966.4
1201.5,9242.8,9110.4
1202.5,8471.6,8291.6
1203.5,6892.4,6626.8
1204.5,7110.4,6848.8
1205.5,6272.4,6044.8
1206.5,5700.8,5398.0
1207.5,5171.2,4690.4
1208.5,4525.6,4032.0
1209.5,3923.2,3551.2
1210.5,3045.6,2662.8
1211.5,2964.8,2642.4
1212.5,2558.4,2187.2
1213.5,2198.8,1831.6
1214.5,1826.8,1564.8
1215.5,1543.6,1268.8
1216.5,1342.8,1043.6
1217.5,984.8,756.8
1218.5,997.2,682.4
1219.5,787.2,579.6
1220.5,650.0,442.0
1221.5,570.4,318.4
1222.5,484.4,302.0
1223.5,396.8,224.8
1224.5,301.2,159.6
1225.5,301.6,161.2
1226.5,251.6,115.6
1227.5,253.2,101.6
1228.5,205.2,80.8
1229.5,207.6,81.2
1230.5,178.4,71.6
1231.5,135.2,42.4
1232.5,150.0,50.4
1233.5,146.0,30.8
1234.5,140.0,39.2
1235.5,136.4,37.6
1236.5,114.4,32.0
1237.5,123.6,36.4
1238.5,116.4,23.6
1239.5,112.8,27.2
1240.5,110.0,28.4
1241.5,118.8,24.0
1242.5,98.0,26.8
1243.5,104.4,25.2
1244.5,99.6,18.4
1245.5,82.8,19.2
1246.5,98.4,19.6
1247.5,94.8,24.8
1248.5,115.6,17.6
1249.5,102.0,19.6
1250.5,106.4,22.8
1251.5,97.2,24.8
1252.5,82.8,16.4
1253.5,92.0,24.4
1254.5,87.2,18.4
1255.5,88.4,17.2
1256.5,92.0,12.8
1257.5,94.4,16.0
1258.5,94.0,13.2
1259.5,77.2,14.8
1260.5,83.2,18.4
1261.5,90.4,17.6
1262.5,81.6,16.4
1263.5,86.4,14.4
1264.5,88.0,14.4
1265.5,90.4,12.8
1266.5,74.0,14.0
1267.5,80.4,15.2
1268.5,86.4,12.8
1269.5,75.2,8.0
1270.5,76.8,12.4
1271.5,77.2,13.6
1272.5,78.0,15.6
1273.5,64.4,8.4
1274.5,69.2,14.4
1275.5,83.6,11.6
1276.5,71.2,8.0
1277.5,80.0,11.6
1278.5,76.4,8.0
1279.5,79.6,10.4
1280.5,60.0,9.2
1281.5,79.2,8.0
1282.5,72.8,12.0
1283.5,68.8,6.8
1284.5,66.0,9.2
1285.5,67.2,6.4
1286.5,62.8,11.2
1287.5,58.0,8.8
1288.5,66.4,7.2
1289.5,62.0,6.8
1290.5,67.2,11.6
1291.5,55.2,8.0
1292.5,56.8,5.2
1293.5,58.0,5.6
1294.5,51.6,9.6
1295.5,58.4,5.2
1296.5,61.6,8.0
1297.5,52.0,3.6
1298.5,62.4,7.6
1299.5,63.2,7.6
1300.5,59.2,6.0
1301.5,54.4,6.4
1302.5,59.2,4.8
1303.5,55.6,9.2
1304.5,59.6,4.4
1305.5,55.6,6.8
1306.5,51.2,6.4
1307.5,62.0,6.8
1308.5,48.0,3.6
1309.5,53.2,5.6
1310.5,52.0,4.0
1311.5,54.8,4.8
1312.5,52.8,7.6
1313.5,48.0,8.4
1314.5,51.6,3.6
1315.5,40.8,6.4
1316.5,54.0,4.0
1317.5,50.0,6.4
1318.5,49.2,7.2
1319.5,42.0,5.6
1320.5,51.2,4.8
1321.5,48.8,3.6
1322.5,34.4,4.0
1323.5,50.0,8.4
1324.5,46.4,4.4
1325.5,44.0,4.4
1326.5,40.4,4.4
1327.5,42.0,5.6
1328.5,38.8,5.6
1329.5,44.4,3.2
1330.5,49.6,2.8
1331.5,40.4,4.4
1332.5,42.0,2.8
1333.5,48.4,5.2
1334.5,43.2,4.4
1335.5,43.6,3.6
1336.5,38.8,2.8
1337.5,44.8,4.0
1338.5,44.8,2.4
1339.5,36.4,4.4
1340.5,37.2,4.4
1341.5,46.0,5.6
1342.5,45.2,3.6
1343.5,31.2,2.4
1344.5,42.4,3.2
1345.5,40.8,3.6
1346.5,38.0,3.6
1347.5,38.4,2.8
1348.5,35.2,1.6
1349.5,39.6,3.6
1350.5,28.0,2.4
1351.5,36.4,3.6
1352.5,38.4,3.6
1353.5,38.0,3.6
1354.5,34.4,4.0
1355.5,34.8,2.4
1356.5,38.8,3.6
1357.5,33.6,2.0
1358.5,35.2,6.0
1359.5,32.0,2.4
1360.5,40.4,3.2
1361.5,33.6,1.6
1362.5,35.2,4.0
1363.5,30.0,2.8
1364.5,26.4,1.6
1365.5,33.2,2.4
1366.5,30.4,2.8
1367.5,33.6,3.2
1368.5,31.6,2.0
1369.5,31.6,2.8
1370.5,22.8,3.6
1371.5,24.4,1.6
1372.5,27.6,2.8
1373.5,38.0,2.8
1374.5,38.0,4.8
1375.5,33.6,1.2
1376.5,36.0,2.4
1377.5,26.0,2.0
1378.5,24.8,2.8
1379.5,34.8,1.6
1380.5,30.0,2.0
1381.5,26.0,3.6
1382.5,26.8,2.0
1383.5,26.4,3.2
1384.5,29.2,2.8
1385.5,28.0,2.4
1386.5,33.6,1.6
1387.5,30.0,2.4
1388.5,30.0,1.2
1389.5,26.8,1.6
1390.5,20.8,2.0
1391.5,24.4,2.8
1392.5,24.4,2.4
1393.5,28.4,3.6
1394.5,29.6,1.6
1395.5,21.2,2.0
1396.5,29.2,2.8
1397.5,22.0,2.0
1398.5,22.4,0.8
1399.5,22.8,1.6
1400.5,18.8,2.4
1401.5,27.2,2.4
1402.5,23.2,1.2
1403.5,24.4,2.0
1404.5,24.0,0.4
1405.5,32.4,1.2
1406.5,18.4,0.8
1407.5,22.0,2.4
1408.5,19.6,1.6
1409.5,19.2,2.4
1410.5,20.4,1.2
1411.5,24.0,1.2
1412.5,24.4,2.0
1413.5,21.2,0.8
1414.5,25.6,1.6
1415.5,23.6,1.2
1416.5,20.8,3.2
1417.5,16.8,1.6
1418.5,22.4,2.8
1419.5,21.6,0.4
1420.5,19.6,0.8
1421.5,22.0,1.6
1422.5,20.4,2.0
1423.5,18.0,2.0
1424.5,26.4,1.2
1425.5,22.0,1.6
1426.5,17.2,2.8
1427.5,20.0,1.2
1428.5,18.8,1.2
1429.5,20.8,0.4
1430.5,18.0,1.2
1431.5,19.2,0.8
1432.5,18.8,2.0
1433.5,17.6,2.0
1434.5,16.4,0.8
1435.5,18.8,0.4
1436.5,18.0,1.6
1437.5,14.4,1.2
1438.5,18.8,2.0
1439.5,17.6,1.6
1440.5,20.8,2.4
1441.5,14.0,1.6
1442.5,22.8,1.6
1443.5,15.2,1.2
1444.5,17.2,2.8
1445.5,19.6,0.8
1446.5,13.6,0.8
1447.5,18.4,0.4
1448.5,11.2,0.8
1449.5,20.0,1.2
1450.5,18.8,1.2
1451.5,12.0,0.8
1452.5,17.6,0.8
1453.5,14.8,2.0
1454.5,15.2,0.4
1455.5,10.0,0.8
1456.5,16.4,2.0
1457.5,20.0,0.8
1458.5,16.4,1.2
1459.5,12.8,0.8
1460.5,18.0,2.0
1461.5,15.6,0.8
1462.5,16.0,0.8
1463.5,14.8,0.4
1464.5,13.2,1.2
1465.5,18.8,1.2
1466.5,15.6,1.2
1467.5,14.4,0.8
1468.5,12.8,1.6
1469.5,11.6,0.8
1470.5,12.8,0.4
1471.5,13.2,0.8
1472.5,14.8,0.8
1473.5,14.0,0.0
1474.5,14.4,0.8
1475.5,15.2,1.2
1476.5,12.8,0.8
1477.5,9.6,1.2
1478.5,9.2,1.2
1479.5,14.8,0.0
1480.5,14.0,1.2
1481.5,14.8,1.2
1482.5,8.8,0.0
1483.5,12.0,0.8
1484.5,11.6,0.4
1485.5,13.6,2.0
1486.5,12.8,0.0
1487.5,12.8,0.8
1488.5,18.0,0.8
1489.5,11.6,0.8
1490.5,10.0,0.4
1491.5,8.8,2.0
1492.5,14.8,1.6
1493.5,14.0,0.4
1494.5,15.6,0.4
1495.5,11.6,0.8
1496.5,14.8,3.2
1497.5,9.2,0.4
1498.5,11.6,0.4
1499.5,11.2,1.2
1500.5,10.8,0.8
1501.5,10.4,0.0
1502.5,13.2,0.8
1503.5,10.4,0.4
1504.5,9.6,0.0
1505.5,10.4,2.4
1506.5,17.6,0.8
1507.5,13.2,0.8
1508.5,7.2,0.8
1509.5,10.8,0.4
1510.5,12.0,1.2
1511.5,12.0,1.2
1512.5,11.6,1.2
1513.5,10.4,0.0
1514.5,10.0,0.8
1515.5,9.2,0.8
1516.5,8.8,1.2
1517.5,9.2,0.4
1518.5,9.6,0.4
1519.5,10.0,0.8
1520.5,7.2,0.0
1521.5,8.8,0.8
1522.5,9.6,0.0
1523.5,9.2,0.8
1524.5,9.6,0.4
1525.5,8.4,0.4
1526.5,10.0,0.4
1527.5,10.8,1.2
1528.5,7.6,0.4
1529.5,8.4,0.4
1530.5,6.4,0.4
1531.5,5.2,0.8
1532.5,5.2,1.2
1533.5,6.8,0.4
1534.5,7.2,0.8
1535.5,8.8,0.4
1536.5,7.2,1.6
1537.5,5.6,0.8
1538.5,10.0,0.4
1539.5,3.6,0.4
1540.5,7.2,0.4
1541.5,8.4,0.4
1542.5,7.2,0.0
1543.5,7.6,0.8
1544.5,7.2,0.4
1545.5,9.6,0.8
1546.5,10.0,0.0
1547.5,5.6,0.8
1548.5,8.4,0.0
1549.5,6.8,2.0
1550.5,10.0,0.0
1551.5,7.6,0.4
1552.5,7.6,0.4
1553.5,7.6,0.8
1554.5,6.8,0.0
1555.5,8.4,0.8
1556.5,2.8,0.0
1557.5,6.0,0.0
1558.5,7.2,0.8
1559.5,4.8,0.4
1560.5,4.8,0.4
1561.5,7.6,0.4
1562.5,10.0,0.0
1563.5,7.6,0.4
1564.5,7.6,0.0
1565.5,7.6,0.0
1566.5,3.6,0.4
1567.5,8.8,0.4
1568.5,4.8,0.4
1569.5,9.2,2.0
1570.5,3.6,0.4
1571.5,7.2,0.4
1572.5,8.0,0.8
1573.5,3.2,0.8
1574.5,6.4,0.0
1575.5,5.6,0.0
1576.5,5.2,0.0
1577.5,8.0,0.0
1578.5,5.2,0.8
1579.5,2.4,0.0
1580.5,5.6,0.0
1581.5,4.0,0.8
1582.5,5.2,0.0
1583.5,7.6,0.0
1584.5,6.8,0.0
1585.5,8.0,0.0
1586.5,9.6,0.4
1587.5,5.2,1.2
1588.5,7.2,0.4
1589.5,7.2,0.0
1590.5,4.8,0.0
1591.5,4.8,0.0
1592.5,7.6,0.0
1593.5,3.6,0.4
1594.5,4.8,0.4
1595.5,5.6,0.4
1596.5,7.6,0.0
1597.5,7.6,0.4
1598.5,7.2,0.0
1599.5,4.4,0.4
1600.5,5.2,0.4
1601.5,4.8,0.4
1602.5,5.6,0.4
1603.5,4.8,0.0
1604.5,5.2,0.0
1605.5,5.6,0.8
1606.5,3.6,0.4
1607.5,6.4,0.0
1608.5,4.4,0.4
1609.5,2.8,0.8
1610.5,4.8,0.0
1611.5,3.6,0.4
1612.5,3.6,0.0
1613.5,3.2,0.0
1614.5,4.8,0.8
1615.5,6.4,1.2
1616.5,4.0,0.4
1617.5,6.0,0.0
1618.5,3.6,0.4
1619.5,4.8,0.0
1620.5,6.0,0.0
1621.5,4.0,0.4
1622.5,2.0,0.4
1623.5,6.0,0.4
1624.5,6.8,0.4
1625.5,4.4,0.4
1626.5,6.8,0.0
1627.5,2.8,0.0
1628.5,6.0,0.4
1629.5,5.2,0.4
1630.5,2.0,0.0
1631.5,2.8,0.4
1632.5,5.2,0.0
1633.5,5.6,0.0
1634.5,2.4,0.8
1635.5,4.4,0.4
1636.5,6.0,0.4
1637.5,4.0,0.0
1638.5,4.4,0.8
1639.5,5.6,0.4
1640.5,2.8,0.8
1641.5,4.0,0.0
