col0,col1,col2
1144.5,1.6,0.0
1145.5,3.2,0.4
1146.5,1.6,0.8
1147.5,2.0,1.2
1148.5,3.6,2.0
1149.5,5.2,3.2
1150.5,7.6,8.0
1151.5,13.6,12.8
1152.5,16.4,15.6
1153.5,16.4,22.4
1154.5,17.2,32.8
1155.5,39.6,46.8
1156.5,49.2,62.4
1157.5,76.8,99.6
1158.5,92.4,122.8
1159.5,144.4,176.8
1160.5,183.6,227.6
1161.5,211.6,265.2
1162.5,309.2,381.2
1163.5,430.4,514.8
1164.5,567.2,683.6
1165.5,739.6,858.8
1166.5,942.0,1103.6
1167.5,1174.8,1384.0
1168.5,1196.8,1477.6
1169.5,1692.0,2023.6
1170.5,2106.0,2436.4
1171.5,2484.4,2978.4
1172.5,3011.2,3499.6
1173.5,3540.0,4197.2
1174.5,4123.2,4865.2
1175.5,4163.2,4821.6
1176.5,5390.0,6285.6
1177.5,6100.4,6966.4
1178.5,6805.6,7926.8
1179.5,7646.8,8706.4
1180.5,8366.8,9559.6
1181.5,9109.6,10427.2
1182.5,8547.6,9516.8
1183.5,10412.0,11676.4
1184.5,11090.0,12246.0
1185.5,11696.4,12742.0
1186.5,12103.6,13194.4
1187.5,12473.2,13466.8
1188.5,12716.0,13692.4
1189.5,11223.6,12075.2
1190.5,12856.8,13721.2
1191.5,12880.8,13479.6
1192.5,12605.2,13228.8
1193.5,12222.8,12726.4
1194.5,12019.6,12242.0
1195.5,11558.0,11607.6
1196.5,9594.4,9703.2
1197.5,10390.4,10336.8
1198.5,9807.2,9676.0
1199.5,9160.8,8730.8
1200.5,8392.0,7968.0
1201.5,7674.0,7343.6
1202.5,7094.0,6570.4
1203.5,5459.2,5151.2
1204.5,5682.8,5156.4
1205.5,5058.8,4520.4
1206.5,4504.8,3908.4
1207.5,3963.2,3396.4
1208.5,3396.8,2885.6
1209.5,2923.6,2451.2
1210.5,2199.2,1849.2
1211.5,2255.2,1765.2
1212.5,1880.4,1486.0
1213.5,1592.4,1255.6
1214.5,1336.4,1004.4
1215.5,1136.8,816.8
1216.5,954.0,695.2
1217.5,708.0,478.0
1218.5,673.6,468.8
1219.5,547.2,366.0
1220.5,489.6,296.8
1221.5,406.8,247.2
1222.5,328.8,214.0
1223.5,275.6,178.8
1224.5,211.6,125.2
1225.5,225.6,121.2
1226.5,204.0,98.4
1227.5,163.6,78.8
1228.5,142.4,80.0
1229.5,144.0,67.2
1230.5,125.6,54.0
1231.5,113.2,44.8
1232.5,96.8,50.4
1233.5,108.4,47.2
1234.5,110.4,47.6
1235.5,102.4,42.4
1236.5,91.6,41.6
1237.5,86.4,40.0
1238.5,68.0,29.2
1239.5,97.6,39.6
1240.5,84.8,29.2
1241.5,76.4,34.8
1242.5,89.2,29.6
1243.5,80.4,30.4
1244.5,78.0,35.2
1245.5,70.4,26.0
1246.5,82.4,26.8
1247.5,80.4,28.8
1248.5,76.8,24.8
1249.5,73.6,21.2
