col0,col1,col2
1150.5,2.0,0.0
1151.5,2.0,3.0
1152.5,4.0,4.0
1153.5,9.0,8.0
1154.5,10.0,7.0
1155.5,14.0,14.0
1156.5,24.0,21.0
1157.5,33.0,23.0
1158.5,44.0,39.0
1159.5,65.0,57.0
1160.5,87.0,76.0
1161.5,105.0,93.0
1162.5,154.0,143.0
1163.5,217.0,200.0
1164.5,303.0,263.0
1165.5,362.0,317.0
1166.5,483.0,432.0
1167.5,622.0,590.0
1168.5,678.0,637.0
1169.5,981.0,897.0
1170.5,1185.0,1095.0
1171.5,1470.0,1363.0
1172.5,1786.0,1625.0
1173.5,2119.0,1941.0
1174.5,2548.0,2407.0
1175.5,2553.0,2367.0
1176.5,3344.0,3092.0
1177.5,3923.0,3670.0
1178.5,4452.0,4147.0
1179.5,4823.0,4775.0
1180.5,5467.0,5242.0
1181.5,6074.0,5906.0
1182.5,5744.0,5562.0
1183.5,7097.0,6853.0
1184.5,7544.0,7353.0
1185.5,7933.0,7773.0
1186.5,8443.0,8336.0
1187.5,8675.0,8696.0
1188.5,9014.0,8872.0
1189.5,8015.0,7954.0
1190.5,9270.0,9186.0
1191.5,9232.0,9268.0
1192.5,9179.0,9216.0
1193.5,9055.0,9094.0
1194.5,8808.0,9017.0
1195.5,8502.0,8618.0
1196.5,7181.0,7366.0
1197.5,7802.0,7917.0
1198.5,7320.0,7574.0
1199.5,6935.0,6944.0
1200.5,6332.0,6484.0
1201.5,5754.0,6034.0
1202.5,5130.0,5419.0
1203.5,4145.0,4320.0
1204.5,4181.0,4439.0
1205.5,3679.0,4001.0
1206.5,3322.0,3481.0
1207.5,2881.0,3003.0
1208.5,2485.0,2691.0
1209.5,2104.0,2217.0
1210.5,1612.0,1696.0
1211.5,1522.0,1645.0
1212.5,1291.0,1376.0
1213.5,1034.0,1109.0
1214.5,865.0,921.0
1215.5,718.0,765.0
1216.5,559.0,596.0
1217.5,415.0,437.0
1218.5,355.0,380.0
1219.5,304.0,337.0
1220.5,234.0,251.0
1221.5,196.0,194.0
1222.5,142.0,162.0
1223.5,108.0,114.0
1224.5,81.0,76.0
1225.5,67.0,67.0
1226.5,57.0,53.0
1227.5,39.0,41.0
1228.5,31.0,30.0
1229.5,28.0,23.0
1230.5,22.0,21.0
1231.5,15.0,14.0
1232.5,15.0,12.0
1233.5,16.0,11.0
1234.5,12.0,10.0
1235.5,11.0,8.0
1236.5,7.0,8.0
1237.5,9.0,4.0
1238.5,4.0,4.0
1239.5,8.0,6.0
1240.5,9.0,4.0
1241.5,10.0,7.0
1242.5,9.0,6.0
1243.5,8.0,5.0
1244.5,6.0,4.0
1245.5,6.0,4.0
1246.5,6.0,4.0
1247.5,6.0,4.0
1248.5,6.0,6.0
1249.5,4.0,3.0
1250.5,6.0,2.0
1251.5,5.0,5.0
1252.5,5.0,4.0
1253.5,2.0,4.0
1254.5,5.0,2.0
1255.5,4.0,3.0
1256.5,4.0,3.0
1257.5,5.0,4.0
1258.5,4.0,2.0
1259.5,4.0,2.0
1260.5,4.0,2.0
1261.5,6.0,3.0
1262.5,5.0,2.0
1263.5,4.0,1.0
1264.5,4.0,2.0
1265.5,2.0,1.0
1266.5,4.0,2.0
1267.5,3.0,2.0
1268.5,4.0,2.0
1269.5,2.0,2.0
1270.5,2.0,2.0
1271.5,4.0,2.0
1272.5,2.0,2.0
1273.5,2.0,0.0
1274.5,4.0,2.0
1275.5,2.0,2.0
1276.5,2.0,2.0
1277.5,3.0,0.0
1278.5,2.0,2.0
1279.5,2.0,2.0
1280.5,2.0,2.0
1281.5,2.0,2.0
1282.5,2.0,2.0
1283.5,2.0,2.0
1284.5,2.0,2.0
1285.5,2.0,2.0
1286.5,3.0,0.0
1287.5,2.0,2.0
1288.5,2.0,2.0
1289.5,2.0,2.0
1290.5,2.0,0.0
1291.5,2.0,2.0
1292.5,3.0,2.0
1293.5,2.0,2.0
1294.5,1.0,0.0
1295.5,2.0,2.0
1296.5,2.0,2.0
1297.5,2.0,2.0
1298.5,2.0,2.0
1299.5,2.0,2.0
1300.5,0.0,2.0
1301.5,2.0,2.0
1302.5,2.0,2.0
1303.5,2.0,2.0
1304.5,2.0,0.0
1305.5,1.0,0.0
1306.5,2.0,0.0
1307.5,1.0,0.0
1308.5,0.0,2.0
1309.5,2.0,1.0
1310.5,1.0,2.0
1311.5,2.0,1.0
1312.5,2.0,2.0
1313.5,2.0,1.0
1314.5,2.0,1.0
1315.5,0.0,0.0
1316.5,2.0,2.0
1317.5,2.0,0.0
1318.5,2.0,2.0
1319.5,2.0,0.0
1320.5,2.0,0.0
1321.5,2.0,0.0
1322.5,0.0,0.0
1323.5,2.0,0.0
1324.5,0.0,0.0
