col0,col1,col2
1097.5,3.0,0.0
1098.5,1.0,2.0
1099.5,2.0,3.0
1100.5,5.0,3.0
1101.5,7.0,4.0
1102.5,11.0,9.0
1103.5,8.0,15.0
1104.5,18.0,21.0
1105.5,17.0,22.0
1106.5,48.0,38.0
1107.5,58.0,62.0
1108.5,75.0,66.0
1109.5,87.0,85.0
1110.5,138.0,123.0
1111.5,166.0,129.0
1112.5,171.0,168.0
1113.5,256.0,243.0
1114.5,315.0,281.0
1115.5,371.0,335.0
1116.5,481.0,450.0
1117.5,615.0,544.0
1118.5,733.0,651.0
1119.5,778.0,698.0
1120.5,1098.0,924.0
1121.5,1275.0,1140.0
1122.5,1454.0,1377.0
1123.5,1772.0,1607.0
1124.5,2249.0,1927.0
1125.5,2566.0,2213.0
1126.5,2575.0,2351.0
1127.5,3386.0,2967.0
1128.5,3856.0,3458.0
1129.5,4397.0,4031.0
1130.5,5056.0,4568.0
1131.5,5664.0,5202.0
1132.5,6247.0,5688.0
1133.5,6045.0,5482.0
1134.5,7567.0,6892.0
1135.5,8164.0,7687.0
1136.5,8895.0,8231.0
1137.5,9576.0,8784.0
1138.5,10228.0,9476.0
1139.5,10888.0,10094.0
1140.5,9724.0,9180.0
1141.5,11568.0,11094.0
1142.5,11812.0,11620.0
1143.5,12183.0,11756.0
1144.5,12623.0,12004.0
1145.5,12505.0,12269.0
1146.5,12392.0,12052.0
1147.5,10654.0,10707.0
1148.5,12088.0,11965.0
1149.5,11671.0,11785.0
1150.5,11428.0,11508.0
1151.5,10812.0,11039.0
1152.5,10231.0,10571.0
1153.5,9776.0,10097.0
1154.5,7942.0,8476.0
1155.5,8502.0,8982.0
1156.5,7775.0,8302.0
1157.5,7266.0,7781.0
1158.5,6346.0,7172.0
1159.5,5753.0,6449.0
1160.5,5163.0,5721.0
1161.5,4038.0,4618.0
1162.5,4105.0,4738.0
1163.5,3676.0,4218.0
1164.5,3074.0,3669.0
1165.5,2688.0,3219.0
1166.5,2435.0,2835.0
1167.5,1986.0,2501.0
1168.5,1531.0,1917.0
1169.5,1588.0,1908.0
1170.5,1254.0,1650.0
1171.5,1082.0,1440.0
1172.5,908.0,1263.0
1173.5,784.0,1082.0
1174.5,654.0,973.0
1175.5,571.0,704.0
1176.5,541.0,758.0
1177.5,523.0,672.0
1178.5,419.0,586.0
1179.5,376.0,524.0
1180.5,314.0,476.0
1181.5,313.0,407.0
1182.5,240.0,341.0
1183.5,285.0,357.0
1184.5,247.0,352.0
1185.5,227.0,318.0
1186.5,198.0,296.0
1187.5,211.0,276.0
1188.5,177.0,259.0
1189.5,162.0,196.0
1190.5,153.0,236.0
1191.5,187.0,223.0
1192.5,166.0,193.0
1193.5,151.0,181.0
1194.5,137.0,169.0
1195.5,141.0,156.0
1196.5,126.0,133.0
1197.5,122.0,152.0
1198.5,126.0,140.0
1199.5,130.0,151.0
1200.5,109.0,130.0
1201.5,113.0,147.0
1202.5,106.0,124.0
1203.5,102.0,109.0
1204.5,100.0,111.0
1205.5,97.0,124.0
1206.5,103.0,112.0
1207.5,107.0,93.0
1208.5,94.0,95.0
1209.5,101.0,97.0
1210.5,65.0,97.0
1211.5,88.0,88.0
1212.5,82.0,74.0
1213.5,90.0,91.0
1214.5,78.0,73.0
1215.5,81.0,83.0
1216.5,83.0,96.0
1217.5,69.0,58.0
1218.5,71.0,68.0
1219.5,77.0,70.0
1220.5,64.0,69.0
1221.5,66.0,67.0
1222.5,67.0,68.0
1223.5,70.0,58.0
1224.5,54.0,50.0
1225.5,62.0,68.0
1226.5,62.0,67.0
1227.5,67.0,63.0
1228.5,53.0,54.0
1229.5,66.0,64.0
1230.5,45.0,67.0
1231.5,52.0,42.0
1232.5,61.0,42.0
1233.5,54.0,52.0
1234.5,40.0,49.0
1235.5,40.0,43.0
1236.5,45.0,50.0
1237.5,55.0,45.0
1238.5,44.0,36.0
1239.5,37.0,39.0
1240.5,35.0,37.0
1241.5,45.0,49.0
1242.5,41.0,42.0
1243.5,42.0,39.0
1244.5,49.0,40.0
1245.5,35.0,38.0
1246.5,36.0,35.0
1247.5,40.0,35.0
1248.5,37.0,37.0
1249.5,38.0,32.0
1250.5,38.0,35.0
1251.5,40.0,32.0
1252.5,25.0,32.0
1253.5,38.0,39.0
1254.5,35.0,29.0
1255.5,28.0,29.0
1256.5,36.0,30.0
1257.5,29.0,27.0
1258.5,30.0,34.0
1259.5,32.0,32.0
1260.5,29.0,27.0
1261.5,36.0,26.0
1262.5,32.0,32.0
1263.5,27.0,20.0
1264.5,26.0,24.0
1265.5,32.0,22.0
1266.5,22.0,23.0
1267.5,23.0,25.0
1268.5,28.0,23.0
1269.5,25.0,30.0
1270.5,38.0,25.0
1271.5,33.0,20.0
