col0,col1,col2
3044.5,0.0,0.0
3045.5,0.0,2.0
3046.5,0.0,2.0
3047.5,0.0,2.0
3048.5,0.0,2.0
3049.5,0.0,0.0
3050.5,0.0,2.0
3051.5,0.0,2.0
3052.5,0.0,2.0
3053.5,0.0,2.0
3054.5,0.0,2.0
3055.5,0.0,2.0
3056.5,0.0,2.0
3057.5,0.0,4.0
3058.5,0.0,4.0
3059.5,0.0,2.0
3060.5,0.0,4.0
3061.5,0.0,4.0
3062.5,0.0,4.0
3063.5,0.0,2.0
3064.5,2.0,4.0
3065.5,0.0,4.0
3066.5,0.0,8.0
3067.5,0.0,6.0
3068.5,0.0,10.0
3069.5,2.0,6.0
3070.5,0.0,10.0
3071.5,0.0,8.0
3072.5,0.0,6.0
3073.5,2.0,12.0
3074.5,0.0,10.0
3075.5,0.0,12.0
3076.5,0.0,6.0
3077.5,0.0,6.0
3078.5,2.0,14.0
3079.5,2.0,18.0
3080.5,0.0,16.0
3081.5,2.0,10.0
3082.5,4.0,18.0
3083.5,2.0,12.0
3084.5,2.0,12.0
3085.5,2.0,16.0
3086.5,2.0,20.0
3087.5,2.0,18.0
3088.5,2.0,24.0
3089.5,2.0,20.0
3090.5,2.0,24.0
3091.5,2.0,26.0
3092.5,2.0,20.0
3093.5,4.0,22.0
3094.5,2.0,38.0
3095.5,4.0,20.0
3096.5,4.0,26.0
3097.5,2.0,28.0
3098.5,4.0,50.0
3099.5,8.0,46.0
3100.5,8.0,58.0
3101.5,6.0,40.0
3102.5,8.0,38.0
3103.5,4.0,40.0
3104.5,4.0,48.0
3105.5,4.0,44.0
3106.5,8.0,52.0
3107.5,6.0,62.0
3108.5,6.0,48.0
3109.5,10.0,62.0
3110.5,8.0,80.0
3111.5,12.0,78.0
3112.5,6.0,70.0
3113.5,8.0,76.0
3114.5,14.0,80.0
3115.5,10.0,112.0
3116.5,8.0,88.0
3117.5,10.0,110.0
3118.5,10.0,90.0
3119.5,20.0,132.0
3120.5,16.0,86.0
3121.5,14.0,114.0
3122.5,14.0,130.0
3123.5,22.0,152.0
3124.5,22.0,156.0
3125.5,18.0,142.0
3126.5,18.0,154.0
3127.5,20.0,168.0
3128.5,22.0,134.0
3129.5,22.0,160.0
3130.5,26.0,168.0
3131.5,20.0,198.0
3132.5,26.0,204.0
3133.5,42.0,226.0
3134.5,36.0,218.0
3135.5,36.0,200.0
3136.5,32.0,222.0
3137.5,36.0,234.0
3138.5,36.0,260.0
3139.5,44.0,248.0
3140.5,58.0,264.0
3141.5,54.0,276.0
3142.5,50.0,270.0
3143.5,52.0,312.0
3144.5,62.0,320.0
3145.5,48.0,352.0
3146.5,62.0,336.0
3147.5,42.0,404.0
3148.5,76.0,416.0
3149.5,58.0,370.0
3150.5,64.0,358.0
3151.5,74.0,406.0
3152.5,72.0,428.0
3153.5,80.0,462.0
3154.5,82.0,450.0
3155.5,62.0,474.0
3156.5,74.0,518.0
3157.5,90.0,480.0
3158.5,96.0,514.0
3159.5,92.0,514.0
3160.5,98.0,570.0
3161.5,102.0,550.0
3162.5,106.0,566.0
3163.5,132.0,580.0
3164.5,112.0,580.0
3165.5,108.0,668.0
3166.5,128.0,688.0
3167.5,136.0,694.0
3168.5,152.0,672.0
3169.5,128.0,782.0
3170.5,142.0,782.0
3171.5,160.0,812.0
3172.5,162.0,826.0
3173.5,156.0,862.0
3174.5,166.0,850.0
3175.5,174.0,940.0
3176.5,170.0,914.0
3177.5,204.0,946.0
3178.5,188.0,1006.0
3179.5,188.0,986.0
3180.5,204.0,970.0
3181.5,230.0,1038.0
3182.5,182.0,1048.0
3183.5,232.0,1180.0
3184.5,218.0,1080.0
3185.5,242.0,1148.0
3186.5,236.0,1248.0
3187.5,242.0,1178.0
3188.5,274.0,1262.0
3189.5,242.0,1242.0
3190.5,270.0,1300.0
3191.5,282.0,1282.0
3192.5,318.0,1354.0
3193.5,286.0,1324.0
3194.5,344.0,1348.0
3195.5,318.0,1578.0
3196.5,308.0,1494.0
3197.5,366.0,1620.0
3198.5,292.0,1536.0
3199.5,352.0,1652.0
3200.5,350.0,1556.0
3201.5,372.0,1670.0
3202.5,368.0,1678.0
3203.5,432.0,1638.0
3204.5,388.0,1696.0
3205.5,422.0,1780.0
3206.5,442.0,1780.0
3207.5,456.0,1788.0
3208.5,480.0,1828.0
3209.5,446.0,1892.0
3210.5,510.0,1812.0
3211.5,472.0,1858.0
3212.5,468.0,1982.0
3213.5,480.0,1948.0
3214.5,504.0,2084.0
3215.5,496.0,2182.0
3216.5,516.0,2028.0
3217.5,568.0,2112.0
3218.5,570.0,2168.0
3219.5,572.0,2172.0
3220.5,572.0,2112.0
3221.5,576.0,2194.0
3222.5,586.0,2206.0
3223.5,580.0,2232.0
3224.5,634.0,2280.0
3225.5,618.0,2318.0
3226.5,666.0,2318.0
3227.5,640.0,2348.0
3228.5,700.0,2358.0
3229.5,664.0,2472.0
3230.5,664.0,2436.0
3231.5,796.0,2530.0
3232.5,664.0,2472.0
3233.5,786.0,2440.0
3234.5,740.0,2482.0
3235.5,850.0,2516.0
3236.5,810.0,2472.0
3237.5,768.0,2514.0
3238.5,820.0,2546.0
3239.5,830.0,2552.0
3240.5,790.0,2500.0
3241.5,832.0,2582.0
3242.5,818.0,2564.0
3243.5,808.0,2500.0
3244.5,854.0,2528.0
3245.5,900.0,2566.0
3246.5,872.0,2554.0
3247.5,946.0,2540.0
3248.5,844.0,2518.0
3249.5,934.0,2594.0
3250.5,948.0,2570.0
3251.5,972.0,2500.0
3252.5,956.0,2512.0
3253.5,918.0,2632.0
3254.5,978.0,2542.0
3255.5,906.0,2544.0
3256.5,1052.0,2508.0
3257.5,1006.0,2562.0
3258.5,1030.0,2568.0
3259.5,1060.0,2544.0
3260.5,1042.0,2554.0
3261.5,1024.0,2512.0
3262.5,1066.0,2574.0
3263.5,1102.0,2502.0
3264.5,1098.0,2492.0
3265.5,1084.0,2496.0
3266.5,1060.0,2490.0
3267.5,1108.0,2480.0
3268.5,1162.0,2506.0
3269.5,1058.0,2430.0
3270.5,1072.0,2468.0
3271.5,1112.0,2416.0
3272.5,1106.0,2366.0
3273.5,1166.0,2342.0
3274.5,1146.0,2338.0
3275.5,1072.0,2300.0
3276.5,1148.0,2384.0
3277.5,1148.0,2342.0
3278.5,1146.0,2310.0
3279.5,1172.0,2308.0
3280.5,1150.0,2208.0
3281.5,1138.0,2280.0
3282.5,1072.0,2232.0
3283.5,1208.0,2234.0
3284.5,1184.0,2224.0
3285.5,1168.0,2086.0
3286.5,1132.0,2136.0
3287.5,1120.0,2166.0
3288.5,1162.0,2124.0
3289.5,1162.0,2088.0
3290.5,1184.0,2026.0
3291.5,1166.0,2016.0
3292.5,1138.0,2030.0
3293.5,1180.0,1812.0
3294.5,1184.0,1892.0
3295.5,1168.0,1900.0
3296.5,1198.0,1802.0
3297.5,1208.0,1764.0
3298.5,1186.0,1800.0
3299.5,1162.0,1744.0
3300.5,1224.0,1752.0
3301.5,1146.0,1706.0
3302.5,1166.0,1638.0
3303.5,1152.0,1622.0
3304.5,1164.0,1580.0
3305.5,1196.0,1600.0
3306.5,1198.0,1542.0
3307.5,1164.0,1620.0
3308.5,1198.0,1528.0
3309.5,1150.0,1490.0
3310.5,1154.0,1406.0
3311.5,1168.0,1424.0
3312.5,1154.0,1432.0
3313.5,1158.0,1396.0
3314.5,1190.0,1338.0
3315.5,1132.0,1366.0
3316.5,1160.0,1284.0
3317.5,1164.0,1278.0
3318.5,1154.0,1268.0
3319.5,1184.0,1206.0
3320.5,1094.0,1118.0
3321.5,1088.0,1072.0
3322.5,1098.0,1044.0
3323.5,1118.0,1060.0
3324.5,1070.0,982.0
3325.5,1082.0,972.0
3326.5,1044.0,942.0
3327.5,1114.0,908.0
3328.5,1066.0,878.0
3329.5,1014.0,892.0
