,col0,col1,col2
0,3041.5,0.0,0.0
1,3042.5,0.0,2.0
2,3043.5,0.0,2.0
3,3044.5,0.0,0.0
4,3045.5,0.0,0.0
5,3046.5,0.0,2.0
6,3047.5,0.0,2.0
7,3048.5,0.0,2.0
8,3049.5,0.0,2.0
9,3050.5,0.0,2.0
10,3051.5,0.0,2.0
11,3052.5,0.0,0.0
12,3053.5,0.0,0.0
13,3054.5,0.0,2.0
14,3055.5,0.0,2.0
15,3056.5,0.0,2.0
16,3057.5,0.0,2.0
17,3058.5,0.0,6.0
18,3059.5,0.0,4.0
19,3060.5,0.0,6.0
20,3061.5,0.0,4.0
21,3062.5,0.0,4.0
22,3063.5,0.0,6.0
23,3064.5,0.0,6.0
24,3065.5,0.0,4.0
25,3066.5,0.0,8.0
26,3067.5,0.0,10.0
27,3068.5,0.0,8.0
28,3069.5,0.0,8.0
29,3070.5,0.0,8.0
30,3071.5,0.0,12.0
31,3072.5,0.0,6.0
32,3073.5,0.0,10.0
33,3074.5,0.0,12.0
34,3075.5,0.0,14.0
35,3076.5,0.0,10.0
36,3077.5,0.0,14.0
37,3078.5,0.0,18.0
38,3079.5,0.0,12.0
39,3080.5,0.0,18.0
40,3081.5,0.0,14.0
41,3082.5,0.0,16.0
42,3083.5,0.0,16.0
43,3084.5,0.0,14.0
44,3085.5,0.0,26.0
45,3086.5,0.0,24.0
46,3087.5,0.0,24.0
47,3088.5,0.0,26.0
48,3089.5,0.0,26.0
49,3090.5,0.0,28.0
50,3091.5,0.0,26.0
51,3092.5,0.0,30.0
52,3093.5,0.0,28.0
53,3094.5,0.0,38.0
54,3095.5,0.0,40.0
55,3096.5,0.0,32.0
56,3097.5,0.0,46.0
57,3098.5,2.0,44.0
58,3099.5,0.0,56.0
59,3100.5,0.0,50.0
60,3101.5,2.0,44.0
61,3102.5,2.0,56.0
62,3103.5,2.0,46.0
63,3104.5,2.0,62.0
64,3105.5,0.0,60.0
65,3106.5,2.0,58.0
66,3107.5,2.0,76.0
67,3108.5,2.0,62.0
68,3109.5,2.0,76.0
69,3110.5,2.0,70.0
70,3111.5,2.0,94.0
71,3112.5,2.0,80.0
72,3113.5,2.0,102.0
73,3114.5,2.0,96.0
74,3115.5,4.0,110.0
75,3116.5,2.0,98.0
76,3117.5,4.0,114.0
77,3118.5,4.0,118.0
78,3119.5,4.0,126.0
79,3120.5,4.0,134.0
80,3121.5,4.0,128.0
81,3122.5,6.0,142.0
82,3123.5,4.0,152.0
83,3124.5,8.0,164.0
84,3125.5,2.0,178.0
85,3126.5,6.0,166.0
86,3127.5,6.0,180.0
87,3128.5,6.0,178.0
88,3129.5,8.0,194.0
89,3130.5,8.0,204.0
90,3131.5,6.0,192.0
91,3132.5,8.0,216.0
92,3133.5,10.0,220.0
93,3134.5,6.0,222.0
94,3135.5,10.0,216.0
95,3136.5,8.0,238.0
96,3137.5,12.0,268.0
97,3138.5,10.0,288.0
98,3139.5,14.0,306.0
99,3140.5,12.0,326.0
100,3141.5,10.0,304.0
101,3142.5,14.0,320.0
102,3143.5,12.0,348.0
103,3144.5,14.0,354.0
104,3145.5,12.0,374.0
105,3146.5,12.0,410.0
106,3147.5,12.0,386.0
107,3148.5,16.0,408.0
108,3149.5,14.0,428.0
109,3150.5,20.0,476.0
110,3151.5,14.0,458.0
111,3152.5,18.0,484.0
112,3153.5,20.0,484.0
113,3154.5,18.0,506.0
114,3155.5,26.0,522.0
115,3156.5,22.0,536.0
116,3157.5,22.0,598.0
117,3158.5,26.0,602.0
118,3159.5,32.0,620.0
119,3160.5,24.0,630.0
