col0,col1,col2
5285.5,0.0,0.0
5286.5,0.0,2.0
5287.5,0.0,0.0
5288.5,0.0,0.0
5289.5,0.0,2.0
5290.5,0.0,0.0
5291.5,2.0,2.0
5292.5,0.0,0.0
5293.5,0.0,2.0
5294.5,0.0,0.0
5295.5,0.0,0.0
5296.5,4.0,2.0
5297.5,2.0,2.0
5298.5,2.0,4.0
5299.5,2.0,2.0
5300.5,2.0,4.0
5301.5,2.0,4.0
5302.5,2.0,4.0
5303.5,2.0,0.0
5304.5,2.0,4.0
5305.5,4.0,6.0
5306.5,4.0,8.0
5307.5,2.0,6.0
5308.5,4.0,8.0
5309.5,8.0,8.0
5310.5,6.0,8.0
5311.5,4.0,8.0
5312.5,8.0,6.0
5313.5,6.0,10.0
5314.5,6.0,12.0
5315.5,6.0,8.0
5316.5,10.0,18.0
5317.5,12.0,8.0
5318.5,14.0,16.0
5319.5,10.0,10.0
5320.5,8.0,12.0
5321.5,12.0,16.0
5322.5,10.0,14.0
5323.5,14.0,16.0
5324.5,14.0,20.0
5325.5,12.0,18.0
5326.5,14.0,18.0
5327.5,22.0,20.0
5328.5,20.0,20.0
5329.5,16.0,22.0
5330.5,22.0,26.0
5331.5,24.0,24.0
5332.5,26.0,38.0
5333.5,30.0,26.0
5334.5,18.0,36.0
5335.5,32.0,32.0
5336.5,26.0,32.0
5337.5,36.0,44.0
5338.5,40.0,40.0
5339.5,52.0,48.0
5340.5,40.0,42.0
5341.5,36.0,50.0
5342.5,52.0,56.0
5343.5,58.0,58.0
5344.5,52.0,56.0
5345.5,50.0,74.0
5346.5,46.0,66.0
5347.5,70.0,66.0
5348.5,64.0,74.0
5349.5,74.0,82.0
5350.5,72.0,106.0
5351.5,74.0,84.0
5352.5,78.0,106.0
5353.5,90.0,100.0
5354.5,110.0,100.0
5355.5,108.0,114.0
5356.5,96.0,108.0
5357.5,106.0,124.0
5358.5,112.0,146.0
5359.5,120.0,164.0
5360.5,110.0,144.0
5361.5,142.0,168.0
5362.5,148.0,178.0
5363.5,152.0,172.0
5364.5,146.0,178.0
5365.5,144.0,188.0
5366.5,184.0,220.0
5367.5,218.0,204.0
5368.5,204.0,204.0
5369.5,184.0,252.0
5370.5,230.0,226.0
5371.5,194.0,234.0
5372.5,226.0,254.0
5373.5,246.0,256.0
5374.5,260.0,286.0
5375.5,250.0,302.0
5376.5,266.0,288.0
5377.5,276.0,316.0
5378.5,266.0,364.0
5379.5,320.0,354.0
5380.5,280.0,356.0
5381.5,322.0,364.0
5382.5,350.0,388.0
5383.5,348.0,402.0
5384.5,378.0,422.0
5385.5,384.0,422.0
5386.5,402.0,474.0
5387.5,394.0,492.0
5388.5,414.0,474.0
5389.5,416.0,504.0
5390.5,488.0,486.0
5391.5,482.0,560.0
5392.5,484.0,540.0
5393.5,516.0,538.0
5394.5,572.0,640.0
5395.5,542.0,616.0
5396.5,560.0,658.0
5397.5,576.0,710.0
5398.5,636.0,686.0
5399.5,616.0,696.0
5400.5,592.0,718.0
5401.5,640.0,734.0
5402.5,722.0,828.0
5403.5,742.0,830.0
5404.5,760.0,810.0
5405.5,850.0,850.0
5406.5,832.0,930.0
5407.5,840.0,964.0
5408.5,968.0,1060.0
5409.5,932.0,1040.0
5410.5,966.0,1074.0
5411.5,1016.0,1072.0
5412.5,1084.0,1178.0
5413.5,1072.0,1200.0
5414.5,1144.0,1218.0
5415.5,1130.0,1226.0
5416.5,1204.0,1282.0
5417.5,1304.0,1310.0
5418.5,1270.0,1392.0
5419.5,1282.0,1438.0
5420.5,1306.0,1398.0
5421.5,1380.0,1390.0
5422.5,1396.0,1502.0
5423.5,1424.0,1594.0
5424.5,1416.0,1570.0
5425.5,1430.0,1570.0
5426.5,1608.0,1632.0
5427.5,1650.0,1740.0
5428.5,1608.0,1724.0
5429.5,1626.0,1754.0
5430.5,1650.0,1866.0
5431.5,1776.0,1812.0
5432.5,1744.0,1936.0
5433.5,1826.0,1994.0
5434.5,1788.0,1920.0
5435.5,1864.0,1962.0
5436.5,1872.0,2008.0
5437.5,1978.0,2024.0
5438.5,2000.0,2098.0
5439.5,2064.0,2112.0
5440.5,2070.0,2220.0
5441.5,2174.0,2210.0
5442.5,2114.0,2218.0
5443.5,2158.0,2322.0
5444.5,2216.0,2262.0
5445.5,2244.0,2332.0
5446.5,2342.0,2392.0
5447.5,2376.0,2472.0
5448.5,2390.0,2426.0
5449.5,2408.0,2452.0
5450.5,2418.0,2476.0
5451.5,2400.0,2586.0
5452.5,2524.0,2610.0
5453.5,2518.0,2584.0
5454.5,2498.0,2662.0
5455.5,2502.0,2744.0
5456.5,2684.0,2650.0
5457.5,2586.0,2668.0
5458.5,2784.0,2766.0
5459.5,2696.0,2824.0
5460.5,2690.0,2728.0
5461.5,2682.0,2938.0
5462.5,2838.0,2792.0
5463.5,2798.0,2826.0
5464.5,2908.0,2906.0
5465.5,2862.0,2862.0
5466.5,2910.0,2910.0
5467.5,2922.0,3016.0
5468.5,2968.0,2958.0
5469.5,2952.0,3020.0
5470.5,2932.0,3022.0
5471.5,2992.0,3004.0
5472.5,2960.0,3000.0
5473.5,2996.0,2992.0
5474.5,2994.0,3028.0
5475.5,3016.0,3004.0
5476.5,2988.0,3028.0
5477.5,3000.0,3032.0
5478.5,3070.0,3050.0
5479.5,2996.0,2976.0
5480.5,3054.0,2980.0
5481.5,3062.0,3066.0
5482.5,3038.0,3006.0
5483.5,3024.0,3048.0
5484.5,3022.0,3046.0
5485.5,3016.0,3008.0
5486.5,3026.0,2940.0
5487.5,3022.0,2988.0
5488.5,2980.0,3018.0
5489.5,3026.0,2920.0
5490.5,2986.0,2988.0
5491.5,3018.0,2896.0
5492.5,2970.0,2944.0
5493.5,2968.0,2846.0
5494.5,2898.0,2842.0
5495.5,2858.0,2822.0
5496.5,2880.0,2830.0
5497.5,2866.0,2860.0
5498.5,2792.0,2706.0
5499.5,2906.0,2756.0
5500.5,2718.0,2774.0
5501.5,2806.0,2704.0
5502.5,2810.0,2644.0
5503.5,2766.0,2768.0
5504.5,2772.0,2544.0
5505.5,2776.0,2562.0
5506.5,2662.0,2588.0
5507.5,2670.0,2520.0
5508.5,2590.0,2416.0
5509.5,2582.0,2364.0
5510.5,2512.0,2398.0
5511.5,2514.0,2458.0
5512.5,2436.0,2390.0
5513.5,2454.0,2330.0
5514.5,2394.0,2242.0
5515.5,2416.0,2214.0
5516.5,2312.0,2256.0
5517.5,2264.0,2184.0
5518.5,2196.0,2096.0
5519.5,2132.0,2054.0
5520.5,2116.0,2064.0
5521.5,2040.0,2028.0
5522.5,2098.0,1990.0
5523.5,1986.0,1918.0
5524.5,2016.0,1928.0
5525.5,2078.0,1912.0
5526.5,1884.0,1858.0
5527.5,1866.0,1724.0
5528.5,1810.0,1760.0
5529.5,1826.0,1652.0
5530.5,1738.0,1688.0
5531.5,1748.0,1648.0
5532.5,1622.0,1528.0
5533.5,1656.0,1590.0
5534.5,1684.0,1486.0
5535.5,1568.0,1464.0
5536.5,1464.0,1440.0
5537.5,1518.0,1350.0
5538.5,1468.0,1356.0
5539.5,1414.0,1312.0
5540.5,1404.0,1282.0
5541.5,1362.0,1340.0
5542.5,1276.0,1182.0
5543.5,1284.0,1254.0
5544.5,1202.0,1190.0
5545.5,1194.0,1108.0
5546.5,1128.0,1056.0
5547.5,1172.0,1032.0
5548.5,1144.0,1090.0
5549.5,1044.0,964.0
5550.5,1084.0,894.0
5551.5,1048.0,956.0
5552.5,988.0,842.0
5553.5,960.0,900.0
5554.5,920.0,776.0
5555.5,834.0,824.0
5556.5,850.0,758.0
5557.5,796.0,736.0
5558.5,786.0,766.0
5559.5,762.0,704.0
5560.5,752.0,708.0
5561.5,708.0,636.0
5562.5,708.0,576.0
5563.5,670.0,606.0
5564.5,668.0,592.0
5565.5,670.0,580.0
5566.5,612.0,512.0
5567.5,616.0,498.0
5568.5,580.0,472.0
5569.5,466.0,480.0
5570.5,494.0,442.0
5571.5,474.0,434.0
5572.5,476.0,372.0
5573.5,430.0,424.0
5574.5,458.0,396.0
5575.5,426.0,322.0
5576.5,384.0,364.0
5577.5,374.0,350.0
5578.5,350.0,338.0
5579.5,322.0,260.0
5580.5,316.0,316.0
5581.5,342.0,278.0
5582.5,296.0,266.0
5583.5,274.0,244.0
5584.5,252.0,208.0
5585.5,250.0,236.0
5586.5,250.0,236.0
5587.5,250.0,202.0
5588.5,216.0,202.0
5589.5,222.0,176.0
5590.5,196.0,182.0
5591.5,216.0,172.0
5592.5,176.0,174.0
5593.5,156.0,172.0
5594.5,170.0,138.0
5595.5,166.0,130.0
5596.5,194.0,132.0
5597.5,138.0,124.0
5598.5,142.0,140.0
5599.5,140.0,118.0
5600.5,138.0,88.0
5601.5,122.0,106.0
5602.5,108.0,78.0
5603.5,106.0,96.0
5604.5,102.0,88.0
5605.5,82.0,82.0
5606.5,80.0,66.0
5607.5,88.0,76.0
5608.5,76.0,66.0
5609.5,74.0,58.0
5610.5,72.0,54.0
5611.5,62.0,52.0
5612.5,62.0,48.0
5613.5,58.0,56.0
5614.5,60.0,48.0
5615.5,48.0,48.0
5616.5,54.0,48.0
5617.5,46.0,40.0
5618.5,42.0,38.0
5619.5,52.0,38.0
5620.5,36.0,32.0
5621.5,46.0,34.0
5622.5,36.0,32.0
5623.5,42.0,20.0
5624.5,30.0,28.0
5625.5,28.0,28.0
5626.5,34.0,20.0
5627.5,20.0,24.0
5628.5,24.0,20.0
5629.5,24.0,18.0
5630.5,22.0,18.0
5631.5,22.0,16.0
5632.5,18.0,14.0
5633.5,16.0,18.0
5634.5,12.0,14.0
5635.5,10.0,14.0
5636.5,14.0,14.0
5637.5,8.0,12.0
5638.5,12.0,8.0
5639.5,10.0,10.0
5640.5,8.0,4.0
5641.5,8.0,6.0
5642.5,10.0,6.0
5643.5,6.0,6.0
5644.5,8.0,6.0
5645.5,6.0,6.0
5646.5,8.0,4.0
5647.5,6.0,4.0
5648.5,4.0,4.0
5649.5,4.0,6.0
5650.5,4.0,2.0
5651.5,4.0,4.0
5652.5,2.0,4.0
5653.5,4.0,4.0
5654.5,2.0,4.0
5655.5,2.0,2.0
5656.5,2.0,2.0
5657.5,2.0,4.0
5658.5,2.0,2.0
5659.5,0.0,2.0
5660.5,2.0,2.0
5661.5,2.0,2.0
5662.5,2.0,2.0
5663.5,0.0,0.0
5664.5,2.0,0.0
5665.5,0.0,0.0
5666.5,0.0,0.0
5667.5,2.0,0.0
5668.5,0.0,0.0
