#.,Instrum. design,,,,,Spectro design,,,,,Telescope,,,,,Obs. Startegy,,,,,,,,Instr perf,,,Detector,,,,,,,FB specific,,,,Imag.,,
Charact.,wavelength,Spectro description,FOV_size,Bandpass,pixel_scale,Bandwidth,Spectral_resolution,Slitwidth,Slitlength,dispersion,Name,Altitude,Collecting_area,Atmosphere,Sky,Signal,PSF_source,Line_width,acquisition_time,exposure_time,lambda_stack,Δx,Δλ,PSF_RMS_mask,PSF_RMS_det,Throughput,Detector_type,pixel_size,readout_time,RN,Dard_current,QE,cosmic_ray_loss_per_sec,smearing,CIC_charge,EM_gain,extra_background,Full_well,conversion_gain,Throughput_FWHM
Unit,nm,.,amin2,nm,"""/pix",Å,λ/dλ,"""","""",Å/pix,.,km,m2,%/100,"erg/cm2/s/""2/Å","erg/cm2/s/""2/Å",""" (σ)",Å,hour,sec,Å,"""",Å,""" σ",""" (σ)",%/100,.,μm,sec,e-/pix,e-/pix/hour,%/100,./sec,pix,e-/exp,e-/e-,e-/pix/hour,kADU,ADU/e-,Å
UVEX NUV,275,Long slit,441000.00,115-265,1.030,1500,3500,2,3600,0.04,UVEX,1000,0.442,1.00,2.00E-17,1.00E-16,5,15,2,300,0.04,0.00,0.00,0.10,0.85,0.20,CMOS,10,3.0,2,3.6,0.9,0.0000,0.0,0.000,1,0.10,60,1,1500
UVEX FUV,115,Long slit,441000.00,115-265,1.030,1500,1600,2,3600,0.04,UVEX,1000,0.442,1.00,2.00E-17,1.00E-16,5,15,2,300,0.04,0.00,0.00,0.10,0.85,0.20,CMOS,10,3.0,2,3.6,0.9,0.0000,0.0,0.000,1,0.10,60,1,1500
FIREBall-2 2018,200,Multi slit,648.00,197-213,1.100,160,1300,6,25,0.21,FB,35,0.785,0.50,4.60E-16,1.00E-16,5,15,2,50,0.21,0.00,0.00,2.50,3.00,0.11,emCCD,13,0.5,107,1,0.50,0.0050,1.5,0.015,1400,3,56,0.5,300
FIREBall-2 2023,200,Multi slit,648.00,197-213,1.100,160,1300,6,25,0.21,FB,35,0.707,0.50,2.00E-18,1.00E-16,5,15,2,50,0.21,0.00,0.00,2.50,3.00,0.11,emCCD,13,5.0,40,1,0.60,0.0050,0.0,0.015,1700,0.5,52,1,400
FIREBall-2 2024 EMCCD 0 layer,200,Multi slit,648.00,197-213,1.100,160,1300,6,25,0.21,FB,35,0.707,0.50,2.00E-18,1.00E-16,5,15,2,50,0.21,0.00,0.00,2.50,3.00,0.11,emCCD,13,5.0,40,1,0.75,0.0050,0.5,0.015,1500,0.5,52,1,400
FIREBall-2 2024 EMCCD 1 layer,200,Multi slit,648.00,197-213,1.100,160,1300,6,25,0.21,FB,35,0.707,0.50,2.00E-18,1.00E-16,5,15,2,50,0.21,0.00,0.00,2.50,3.00,0.11,emCCD,13,5.0,40,1,0.70,0.0050,0.5,0.015,1500,0.015,52,1,400
FIREBall-2 2024 EMCCD 2 layer,200,Multi slit,648.00,197-213,1.100,160,1300,6,25,0.21,FB,35,0.707,0.50,2.00E-18,1.00E-16,5,15,2,50,0.21,0.00,0.00,2.50,3.00,0.11,emCCD,13,5.0,40,1,0.60,0.0050,0.5,0.015,1500,0.001,52,1,400
FIREBall-2 2025,200,Multi slit,648.00,197-213,1.100,160,1300,6,25,0.21,FB,35,0.707,0.50,2.00E-18,1.00E-16,5,15,2,120,0.21,0.00,0.00,2.50,3.00,0.11,emCCD,13,5.0,20,1,0.70,0.0005,0.5,0.015,1500,2,52,1,400
MOSAIC,600,Fibers,40.00,450-700,0.250,2500,4000,3,3,0.63,ELT,3,1195,0.92,5.00E-18,1.00E-16,5,15,2,900,0.63,0.00,0.00,0.10,0.10,0.17,Curv CCD 16k,6.5,100.0,2.3,18,0.8,0.0000,0.0,0.000,1,0.10,60,1,2500
GALEX FUV,152.8,Slitless,4608.00,135-175,1.500,400,200,3600,3600,2.50,GALEX,1000,0.196,1.00,2.00E-18,1.00E-16,5,15,2,1000,2.50,0.00,0.00,0.00,1.83,0.16,MCP,37.00,0.0,0,0.049,0.12,0.0000,0.0,0.000,1,0.10,60,1,400
GALEX NUV,227,Slitless,4464.00,175-280,1.500,1050,90,3600,3600,6.06,GALEX,1000,0.196,1.00,2.00E-18,1.00E-16,5,15,2,1000,6.06,0.00,0.00,0.00,2.26,0.16,MCP,37.00,0.0,0,0.049,0.08,0.0000,0.0,0.000,1,0.10,60,1,1050
